date,state,cases
2020-01-22,Romania,0
2020-01-23,Romania,0
2020-01-24,Romania,0
2020-01-25,Romania,0
2020-01-26,Romania,0
2020-01-27,Romania,0
2020-01-28,Romania,0
2020-01-29,Romania,0
2020-01-30,Romania,0
2020-01-31,Romania,0
2020-02-01,Romania,0
2020-02-02,Romania,0
2020-02-03,Romania,0
2020-02-04,Romania,0
2020-02-05,Romania,0
2020-02-06,Romania,0
2020-02-07,Romania,0
2020-02-08,Romania,0
2020-02-09,Romania,0
2020-02-10,Romania,0
2020-02-11,Romania,0
2020-02-12,Romania,0
2020-02-13,Romania,0
2020-02-14,Romania,0
2020-02-15,Romania,0
2020-02-16,Romania,0
2020-02-17,Romania,0
2020-02-18,Romania,0
2020-02-19,Romania,0
2020-02-20,Romania,0
2020-02-21,Romania,0
2020-02-22,Romania,0
2020-02-23,Romania,0
2020-02-24,Romania,0
2020-02-25,Romania,0
2020-02-26,Romania,1
2020-02-27,Romania,1
2020-02-28,Romania,3
2020-02-29,Romania,3
2020-03-01,Romania,3
2020-03-02,Romania,3
2020-03-03,Romania,3
2020-03-04,Romania,4
2020-03-05,Romania,6
2020-03-06,Romania,9
2020-03-07,Romania,9
2020-03-08,Romania,15
2020-03-09,Romania,15
2020-03-10,Romania,25
2020-03-11,Romania,45
2020-03-12,Romania,49
2020-03-13,Romania,89
2020-03-14,Romania,123
2020-03-15,Romania,131
2020-03-16,Romania,158
2020-03-17,Romania,184
2020-03-18,Romania,260
2020-03-19,Romania,277
2020-03-20,Romania,308
2020-03-21,Romania,367
2020-03-22,Romania,433
2020-03-23,Romania,576
2020-03-24,Romania,794
2020-03-25,Romania,906
2020-03-26,Romania,1029
2020-03-27,Romania,1292
2020-03-28,Romania,1452
2020-03-29,Romania,1815
2020-03-30,Romania,2109
2020-03-31,Romania,2245
2020-04-01,Romania,2460
2020-04-02,Romania,2738
2020-04-03,Romania,3183
2020-04-04,Romania,3613
2020-04-05,Romania,3864
2020-04-06,Romania,4057
2020-04-07,Romania,4417
2020-04-08,Romania,4761
2020-04-09,Romania,5202
2020-04-10,Romania,5467
2020-04-11,Romania,5990
2020-04-12,Romania,6300
2020-04-13,Romania,6633
2020-04-14,Romania,6879
2020-04-15,Romania,7216
2020-04-16,Romania,7707
2020-04-17,Romania,8067
2020-04-18,Romania,8418
2020-04-19,Romania,8746
2020-04-20,Romania,8936
2020-04-21,Romania,9242
2020-04-22,Romania,9710
2020-04-23,Romania,10096
2020-04-24,Romania,10417
2020-04-25,Romania,10635
2020-04-26,Romania,11036
2020-04-27,Romania,11339
2020-04-28,Romania,11616
2020-04-29,Romania,11978
2020-04-30,Romania,12240
2020-05-01,Romania,12567
2020-05-02,Romania,12732
2020-05-03,Romania,13163
2020-05-04,Romania,13512
2020-05-05,Romania,13837
2020-05-06,Romania,14107
2020-05-07,Romania,14499
2020-05-08,Romania,14811
2020-05-09,Romania,15131
2020-05-10,Romania,15362
2020-05-11,Romania,15588
